mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.447,0.912,3.949,0.154,0.537,0.102,4.7410000000000005,42.409,0.0
0.402,0.915,2.421,0.132,0.42200000000000004,0.132,3.108,46.44600000000001,0.0
0.439,0.8959999999999999,2.022,0.113,0.4,0.14400000000000002,2.679,46.96,0.0
0.519,0.8690000000000001,1.9069999999999998,0.127,0.46399999999999997,0.146,2.645,41.903,0.0
0.263,0.935,1.5590000000000002,0.126,0.337,0.084,2.1069999999999998,45.982,0.0
0.519,0.9,2.173,0.126,0.433,0.111,2.843,41.169,0.0
0.442,0.919,1.406,0.106,0.33299999999999996,0.096,1.9409999999999998,40.578,0.0
0.457,0.877,3.462,0.425,0.505,0.119,4.511,41.822,0.0
0.337,0.885,2.768,0.326,0.389,0.099,3.5810000000000004,46.89,0.0
0.32299999999999995,0.892,2.018,0.306,0.361,0.105,2.79,46.173,0.0
0.805,0.773,1.616,0.274,0.614,0.195,2.7,43.408,0.0
2.1830000000000003,0.6920000000000001,0.8590000000000001,0.257,0.769,0.229,2.113,38.731,0.0
2.25,0.6729999999999999,0.92,0.247,0.711,0.272,2.149,37.807,0.0
0.191,0.935,3.593,0.42200000000000004,0.381,0.057,4.452,44.086999999999996,0.0
1.159,0.765,2.181,0.36200000000000004,0.667,0.18,3.39,36.851,0.0
1.514,0.715,1.745,0.301,0.68,0.209,2.935,37.258,0.0
1.614,0.6920000000000001,1.6769999999999998,0.28600000000000003,0.6859999999999999,0.21899999999999997,2.8680000000000003,37.109,0.0
1.706,0.742,1.341,0.27699999999999997,0.614,0.221,2.452,36.505,0.0
1.9709999999999999,0.742,1.435,0.256,0.652,0.267,2.61,36.805,0.0
2.1590000000000003,0.769,0.941,0.251,0.541,0.267,2.001,36.731,0.0
0.228,0.923,3.354,0.403,0.34,0.098,4.194,47.758,0.0
0.361,0.908,2.6460000000000004,0.342,0.408,0.07,3.465,41.59,0.0
1.25,0.742,1.957,0.321,0.6509999999999999,0.199,3.128,40.169,0.0
1.58,0.7120000000000001,1.19,0.3,0.643,0.223,2.356,39.863,0.0
2.099,0.662,0.994,0.29,0.7929999999999999,0.267,2.343,40.72,0.0
2.42,0.708,0.935,0.261,0.725,0.27,2.191,39.823,0.0
2.044,0.765,0.679,0.237,0.54,0.277,1.733,39.679,0.0
2.25,0.654,0.556,0.218,0.769,0.294,1.837,37.215,0.0
2.235,0.758,0.77,0.20800000000000002,0.562,0.262,1.801,37.33,0.0
2.235,0.6579999999999999,0.479,0.227,0.784,0.266,1.756,39.718,0.0
2.309,0.727,0.628,0.209,0.614,0.261,1.712,39.655,0.0
2.07,0.754,0.639,0.227,0.5379999999999999,0.223,1.626,39.38,0.0
2.2030000000000003,0.746,0.928,0.221,0.5760000000000001,0.227,1.952,38.447,0.0
2.456,0.8420000000000001,0.511,0.214,0.483,0.233,1.4409999999999998,37.703,0.0
2.515,0.8420000000000001,0.401,0.184,0.408,0.239,1.2329999999999999,36.311,0.0
2.294,0.8420000000000001,0.467,0.168,0.389,0.18100000000000002,1.204,36.164,0.0
2.229,0.812,0.424,0.17,0.489,0.171,1.254,36.838,0.0
2.406,0.892,0.379,0.161,0.299,0.182,1.021,36.44,0.0
2.544,0.85,0.2,0.147,0.366,0.19,0.903,36.291,0.0
2.25,0.885,0.169,0.113,0.318,0.167,0.766,36.148,0.0
2.543,0.862,0.213,0.127,0.318,0.161,0.819,36.754,0.0
2.464,0.888,0.27,0.118,0.301,0.177,0.866,36.426,0.0
2.603,0.877,0.201,0.105,0.264,0.172,0.743,36.17,0.0
